iter	Passed	Remaining
0	5	8549
11	16	12624
2	23	11531
3	27	10101
4	31	9332
5	35	8946
6	39	8521
7	41	7796
8	43	7257
9	45	6745
10	46	6291
11	47	5924
12	50	5724
13	52	5539
14	53	5300
15	55	5113
16	58	5146
17	61	5073
18	63	4953
19	65	4872
20	68	4807
21	69	4690
22	71	4594
23	74	4555
24	76	4489
25	77	4416
26	79	4327
27	80	4242
28	82	4159
29	84	4159
30	89	4231
31	93	4309
32	96	4273
33	99	4293
34	103	4320
35	105	4295
36	109	4338
37	113	4348
38	117	4392
39	122	4471
40	129	4591
41	131	4564
42	133	4512
43	134	4461
44	136	4400
45	137	4349
46	139	4318
47	141	4278
48	142	4230
49	144	4186
50	145	4136
51	146	4084
52	148	4045
53	149	4003
54	151	3971
55	152	3934
56	153	3892
57	154	3850
58	155	3808
59	157	3778
60	158	3746
61	160	3715
62	161	3687
63	162	3655
64	164	3625
65	165	3564	66	167	3565	227	4940
66	233	4998
67	237	5009
68	242	5021
69	244	5000
70	247	4975
71	251	4997
72	253	4949
73	259	5007
74	266	5058
75	267	5010
76	277	5133
77	285	5207
78	303	5458
79	305	5427
80	309	5426
81	311	5382
82	314	5367
83	317	5351
84	319	5311
85	323	5323
86	329	5356
87	333	5349
88	345	5484
89	351	5513
90	355	5511
91	369	5653
92	388	5877
93	393	5892
94	397	5883
95	408	5978
96	431	6244
97	443	6338
98	444	6289
99	446	6257
100	448	6216
101	451	6182
102	452	6137
103	454	6094
104	455	6057
105	461	6071
106	475	6195
107	478	6165
108	481	6148
109	484	6116
110	491	6154
111	506	6280
112	511	6280
113	515	6262
114	517	6229
115	519	6192
116	521	6169
117	524	6148
118	526	6113
119	529	6089
120	533	6076
121	537	6071
122	547	6133
123	552	6131
124	559	6156
125	566	6172
126	568	6141
127	571	6129
128	575	6115
129	577	6086
130	582	6085
131	590	6119
132	592	6093
133	599	6110
134	600	6071
135	609	6109
136	616	6132
137	623	6158
138	627	6143
139	628	6105
140	631	6081
141	633	6061
142	637	6045
143	637	6006
144	642	6006
145	645	5990
146	653	6014
147	657	6010
148	662	6009
149	664	5982
150	668	5973
151	669	5939
152	675	5943
153	676	5911
154	678	5889
155	681	5867
156	684	5858
157	686	5834
158	690	5822
159	691	5788
160	696	5789
161	703	5806
162	704	5782
163	706	5755
164	708	5733
165	711	5720
166	713	5693
167	718	5697
168	721	5686
169	728	5703
170	730	5677
171	731	5650
172	734	5632
173	737	5616
174	738	5592
175	744	5597
176	747	5585
177	748	5562
178	750	5538
179	752	5515
180	753	5490
181	754	5467
182	756	5445
183	759	5431
184	761	5412
185	765	5409
186	769	5402
187	773	5395
188	777	5395
189	781	5389
190	784	5376
191	785	5351
192	788	5341
193	790	5318
194	792	5303
195	795	5291
196	797	5276
197	799	5257
198	802	5249
199	808	5252
200	811	5244
201	815	5239
202	818	5228
203	822	5222
204	824	5208
205	828	5206
206	829	5183
207	831	5164
208	834	5154
209	838	5151
210	840	5134
211	841	5112
212	842	5090
213	844	5076
214	845	5055
215	851	5064
216	858	5073
217	861	5068
218	863	5052
219	870	5065
220	872	5046
221	873	5026
222	876	5017
223	878	5002
224	881	4997
225	884	4985
226	887	4976
227	889	4963
228	892	4954
229	895	4943
230	897	4929
231	898	4913
232	900	4894
233	903	4885
234	904	4869
235	906	4855
236	909	4844
237	913	4842
238	920	4857
239	923	4845
240	933	4875
241	941	4892
242	948	4907
243	957	4929
244	962	4928
245	965	4923
246	972	4931
247	977	4934
248	979	4920
249	992	4963
250	999	4971
251	1005	4979
252	1011	4986
253	1018	4995
254	1023	4995
255	1029	5005
256	1034	5003
257	1042	5018
258	1046	5013
259	1052	5019
260	1056	5017
261	1062	5022
262	1066	5015
263	1069	5005
264	1073	5002
265	1079	5007
266	1085	5011
267	1087	4997
268	1088	4981
269	1089	4965
270	1091	4948
271	1095	4944
272	1097	4931
273	1098	4916
274	1100	4901
275	1101	4885
276	1103	4871
277	1104	4855
278	1105	4838
279	1107	4823
280	1108	4808
281	1109	4792
282	1110	4777
283	1112	4765
284	1114	4751
285	1116	4737
286	1117	4722
287	1118	4707
288	1120	4695
289	1122	4681
290	1123	4668
291	1126	4658
292	1128	4647
293	1130	4635
294	1131	4621
295	1132	4607
296	1134	4596
297	1136	4583
298	1137	4570
299	1139	4557
300	1140	4542
301	1141	4529
302	1143	4516
303	1144	4503
304	1146	4490
305	1147	4477
306	1148	4464
307	1150	4453
308	1152	4442
309	1154	4431
310	1155	4418
311	1157	4405
312	1158	4392
313	1159	4380
314	1161	4368
315	1162	4356
316	1164	4346
317	1166	4334
318	1167	4322
319	1168	4310
320	1171	4301
321	1172	4290
322	1173	4277
323	1175	4267
324	1177	4257
